"Barnacles" "Algae" "Mussels" "Rock" "T" "Wave"
67.93 1.13 0 31.97 20.7064516129032 1.54838709677419
77.81 1.13 0 20.58 21.2862068965517 1.16896551724138
79.47 4.76 0 20.15 20.2290322580645 1.29677419354839
84.71 13.23 0 15.33 19.3666666666667 1.01333333333333
84.74 31.78 0 15.28 17.5258064516129 0.990322580645161
85.13 31.19 0 14.9 15.36 1.13333333333333
86.68 31.95 0 13.36 13.841935483871 1.17096774193548
83.1 35.65 0 16.28 13.7709677419355 0.912903225806452
81.76 31.6 0 15.69 14.51 1.43214285714286
79.05 32.34 0 20.96 15.4290322580645 1.04193548387097
79.16 31.84 1.49 19.25 15.8333333333333 0.92
78.65 36.16 6.09 15.18 17.3870967741935 1.25806451612903
52.28 38.7 34.88 13.01 19.0322580645161 1.35161290322581
47.95 36.91 37.5 14.72 19.6392857142857 1.3
44.4 39.96 37.53 18.25 20.2483870967742 1.4258064516129
49.85 39.79 32.12 18.51 18.7866666666667 0.67037037037037
50.81 48.32 23.62 25.56 17.2516129032258 1.35483870967742
53.31 48.89 23 23.76 15.5266666666667 1
50.4 35.98 23.91 25.46 14.0129032258065 0.916666666666667
45.44 27.67 23.94 30.86 13.458064516129 1.05172413793103
50.67 23.78 22 28.3 14.05 1.79666666666667
52.11 20.6 24.25 23.75 14.8838709677419 0.8
54.41 18.11 27 18.28 16.2933333333333 0.673333333333333
64.45 16.32 22.6 12.98 17.958064516129 1.22258064516129
70.95 15.24 19.7 8.92 19.8935483870968 1.07741935483871
68.88 14.87 23.98 7.17 20.6964285714286 1.325
74.9 15.46 18 7.1 20.341935483871 1.08709677419355
68.35 20.4 24 7.65 19.1933333333333 1.31
76.19 43.87 16.86 6.84 17.7 0.809677419354839
77.11 50.23 13.77 9.19 16.31 1.18333333333333
77.41 53.57 11.21 10.82 15.6354838709677 2.04193548387097
66.18 33.66 15.83 17.99 14.6967741935484 1.43870967741935
66.97 20.41 15.19 17.98 15.3333333333333 1.05
56.16 13.81 16.54 26.97 15.7645161290323 1.2
51.38 14.92 14.89 33.39 17.2733333333333 1.59
48.81 17.61 10.08 41.2 18.8290322580645 1.31612903225806
